#NAME?;Trade Close;% Move;Wmv;W%mv;Mthmv;Mth%mv;DMTmv
24/12/2019;973,25;0,26%;4,25;0,44%;29,25;3,10%;0,92
23/12/2019;970,75;0,41%;1,5;0,15%;22,75;2,40%;1,47
20/12/2019;966,75;0,21%;2,25;0,23%;12,25;1,28%;0,73
19/12/2019;964,75;-0,44%;14,75;1,55%;11,5;1,21%;-1,56
18/12/2019;969;-0,03%;28;2,98%;7,75;0,81%;-0,09
17/12/2019;969,25;0,49%;32,75;3,50%;9,5;0,99%;1,75
16/12/2019;964,5;1,53%;20,25;2,14%;6,25;0,65%;5,33
13/12/2019;950;0,96%;9,75;1,04%;-10;-1,04%;3,31
12/12/2019;941;0,48%;8,5;0,91%;-19;-1,98%;1,65
11/12/2019;936,5;-0,82%;9,25;1,00%;-37,5;-3,85%;-2,85
10/12/2019;944,25;0,43%;23,25;2,52%;-35,25;-3,60%;1,47
09/12/2019;940,25;0,83%;26,25;2,87%;-30,25;-3,12%;2,85
06/12/2019;932,5;0,57%;19;2,08%;-44,75;-4,58%;1,93
05/12/2019;927,25;0,68%;7,5;0,82%;-53,75;-5,48%;2,30
04/12/2019;921;0,77%;-4;-0,43%;-58,75;-6,00%;2,57
03/12/2019;914;0,05%;-13,25;-1,43%;-61,25;-6,28%;0,18
02/12/2019;913,5;-0,68%;-22;-2,35%;-60;-6,16%;-2,30
29/11/2019;919,75;-0,57%;-20,25;-2,15%;-56,75;-5,81%;-1,93
27/11/2019;925;-0,24%;-19;-2,01%;-53,5;-5,47%;-0,83
26/11/2019;927,25;-0,88%;-20,75;-2,19%;-50,25;-5,14%;-3,03
25/11/2019;935,5;-0,48%;-19;-1,99%;-54,5;-5,51%;-1,65
22/11/2019;940;-0,42%;-13,25;-1,39%;-51,25;-5,17%;-1,47
21/11/2019;944;-0,42%;-17,25;-1,79%;-47,5;-4,79%;-1,47
20/11/2019;948;-0,68%;-11,75;-1,22%;-42,75;-4,31%;-2,39
19/11/2019;954,5;0,13%;-3,75;-0,39%;-37;-3,73%;0,46
18/11/2019;953,25;-0,83%;-6,75;-0,70%;-35,75;-3,61%;-2,94
15/11/2019;961,25;0,16%;1,25;0,13%;-24,25;-2,46%;0,55
14/11/2019;959,75;0,16%;-14,25;-1,46%;-31,75;-3,20%;0,55
13/11/2019;958,25;-0,18%;-21,25;-2,17%;-39,75;-3,98%;-0,64
12/11/2019;960;0,00%;-10,5;-1,08%;-33,5;-3,37%;0,00
11/11/2019;960;-1,44%;-17,25;-1,77%;-21;-2,14%;-5,14
08/11/2019;974;-0,56%;-7;-0,71%;-7,25;-0,74%;-2,02
07/11/2019;979,5;0,93%;-0,25;-0,03%;1,5;0,15%;3,31
06/11/2019;970,5;-0,69%;-4,75;-0,49%;-2,25;-0,23%;-2,48
05/11/2019;977,25;-0,38%;3,75;0,39%;3,5;0,36%;-1,38
04/11/2019;981;0,13%;4,5;0,46%;11,75;1,21%;0,46
01/11/2019;979,75;0,46%;1,25;0,13%;8,5;0,88%;1,65
31/10/2019;975,25;0,18%;-2,25;-0,23%;-1,75;-0,18%;0,64
30/10/2019;973,5;-0,31%;-16,5;-1,67%;10;1,04%;-1,10
29/10/2019;976,5;-0,20%;-14,75;-1,49%;36;3,83%;-0,73
28/10/2019;978,5;0,10%;-13;-1,31%;32,5;3,44%;0,37
25/10/2019;977,5;-1,26%;-13,25;-1,34%;30,75;3,25%;-4,59
24/10/2019;990;-0,13%;-1,5;-0,15%;38,25;4,02%;-0,46
23/10/2019;991,25;-0,03%;2,25;0,23%;41,25;4,34%;-0,09
22/10/2019;991,5;0,08%;6;0,61%;51,25;5,45%;0,28
21/10/2019;990,75;-0,08%;-0,75;-0,08%;40,25;4,23%;-0,28
18/10/2019;991,5;0,25%;-6,5;-0,65%;45,25;4,78%;0,92
17/10/2019;989;0,36%;-4,5;-0,45%;37,75;3,97%;1,29
16/10/2019;985,5;-0,61%;4,5;0,46%;28;2,92%;-2,20
15/10/2019;991,5;-0,65%;10,25;1,04%;35,25;3,69%;-2,39
14/10/2019;998;0,45%;20;2,04%;45;4,72%;1,65
11/10/2019;993,5;1,27%;20,75;2,13%;69,5;7,52%;4,59
10/10/2019;981;-0,03%;7,25;0,74%;51,5;5,54%;-0,09
09/10/2019;981,25;0,33%;12;1,24%;66;7,21%;1,19
08/10/2019;978;0,54%;6,75;0,69%;62,75;6,86%;1,93
07/10/2019;972,75;-0,10%;-4,25;-0,44%;53,75;5,85%;-0,37
04/10/2019;973,75;0,46%;10,25;1,06%;40,75;4,37%;1,65
03/10/2019;969,25;-0,21%;28,75;3,06%;43,25;4,67%;-0,73
